address,person,wiki,year,person_year,PAON,Street,Postcode
"2 ELIOT PLACE, BLACKHEATH SE3 0QL",Sir James Clark Ross,https://en.wikipedia.org/wiki/James_Clark_Ross,01/01/1960,Sir James Clark Ross_1960,2, ELIOT PLACE,SE3 0QL
"2 CHESTER SQUARE, BELGRAVIA SW1W 9HH",Matthew Arnold,https://en.wikipedia.org/wiki/Matthew_Arnold,01/01/1954,Matthew Arnold_1954,2, CHESTER SQUARE,SW1W 9HH
"2 MANSFIELD STREET, MARYLEBONE W1G 9NF",Sir Robert Mayer,https://en.wikipedia.org/wiki/Robert_Mayer_(philanthropist),01/01/1997,Sir Robert Mayer_1997,2,,W1G 9NF
"2 CONNAUGHT PLACE, MARBLE ARCH W2 2ET",Lord Randolph Churchill,https://en.wikipedia.org/wiki/Lord_Randolph_Churchill,01/01/1962,Lord Randolph Churchill_1962,2, CONNAUGHT PLACE,W2 2ET
"2 BURLINGTON GARDENS, CHISWICK W4 4LT",Patrick Hamilton,https://en.wikipedia.org/wiki/Patrick_Hamilton_(writer),01/01/2011,Patrick Hamilton_2011,2,,W4 4LT
"2 PALACE GATE, KENSINGTON W8 5NF",Sir John Everett Millais P.R.A,https://en.wikipedia.org/wiki/John_Everett_Millais,01/01/1926,Sir John Everett Millais P.R.A_1926,2, PALACE GATE,W8 5NF
"3 THE GROVE, HIGHGATE N6 6JU",J. B. Priestley,https://en.wikipedia.org/wiki/J._B._Priestley,01/01/1994,J. B. Priestley_1994,3,,N6 6JU
"3 HUNGERFORD ROAD, HOLLOWAY N7 9LA",Lilian Lindsay,https://en.wikipedia.org/wiki/Lilian_Lindsay,01/01/2013,Lilian Lindsay_2013,3, HUNGERFORD ROAD,N7 9LA
"3 CHALCOT SQUARE, PRIMROSE HILL NW1 8YB",Sylvia Plath,https://en.wikipedia.org/wiki/Sylvia_Plath,01/01/2000,Sylvia Plath_2000,3, CHALCOT SQUARE,NW1 8YB
"3 VILLAS ON THE HEATH, VALE OF HEALTH, HAMPSTEAD NW3 1BA",Rabindranath Tagore,https://en.wikipedia.org/wiki/Rabindranath_Tagore,01/01/1961,Rabindranath Tagore_1961,3,,NW3 1BA
"3 QUEEN ANNE'S GATE, WESTMINSTER SW1H 9BT",Viscount Grey of Fallodon Sir Edward Grey,"https://en.wikipedia.org/wiki/Edward_Grey,_1st_Viscount_Grey_of_Fallodon",01/01/1981,Viscount Grey of Fallodon Sir Edward Grey_1981,3,S GATE,SW1H 9BT
"3 SPANISH PLACE, MARYLEBONE W1U 3HX","George Grossmith, Jr.","https://en.wikipedia.org/wiki/George_Grossmith,_Jr.",01/01/1963,"George Grossmith, Jr._1963",3, SPANISH PLACE,W1U 3HX
"3 SPANISH PLACE, MARYLEBONE W1U 3HX",Captain Frederick Marryat,https://en.wikipedia.org/wiki/Frederick_Marryat,01/01/1953,Captain Frederick Marryat_1953,3, SPANISH PLACE,W1U 3HX
"3 CRESCENT WOOD ROAD, SYDENHAM SE26 6RT",John Logie Baird,https://en.wikipedia.org/wiki/John_Logie_Baird,01/01/1977,John Logie Baird_1977,3, CRESCENT WOOD ROAD,SE26 6RT
"3 THURLEIGH AVENUE, BALHAM SW12 8AN",Gus Elen,https://en.wikipedia.org/wiki/Gus_Elen,01/01/1979,Gus Elen_1979,3, THURLEIGH AVENUE,SW12 8AN
"3 ST MARY'S GROVE, BARNES SW13 0JA",James Henry Greathead,https://en.wikipedia.org/wiki/James_Henry_Greathead,01/01/2000,James Henry Greathead_2000,3,,SW13 0JA
"3 ROUTH ROAD, WANDSWORTH COMMON, WANDSWORTH SW18 3SW",Earl Lloyd-George of Dwyfor,https://en.wikipedia.org/wiki/David_Lloyd_George,01/01/2004,Earl Lloyd-George of Dwyfor_2004,3, ROUTH ROAD,SW18 3SW
"3 LYALL STREET, BELGRAVIA SW1X 8DW",Thomas Cubitt,https://en.wikipedia.org/wiki/Thomas_Cubitt,01/01/1959,Thomas Cubitt_1959,3,,SW1X 8DW
"3 MANCHESTER SQUARE, MARYLEBONE W1U 3PB",John Hughlings Jackson,https://en.wikipedia.org/wiki/John_Hughlings_Jackson,01/01/1932,John Hughlings Jackson_1932,3, MANCHESTER SQUARE,W1U 3PB
"3 PORCHESTER TERRACE, BAYSWATER W2 3TH",Jane Loudon  and John Loudon ,https://en.wikipedia.org/wiki/Jane_C._Loudon,01/01/1953,Jane Loudon  and John Loudon _1953,3, PORCHESTER TERRACE,W2 3TH
"3 HAMMERSMITH TERRACE, CHISWICK W6 9TS",Edward Johnston,https://en.wikipedia.org/wiki/Edward_Johnston,01/01/1977,Edward Johnston_1977,3, HAMMERSMITH TERRACE,W6 9TS
"3 KENSINGTON GATE, KENSINGTON W8 5NA",Sir Benjamin Baker,https://en.wikipedia.org/wiki/Benjamin_Baker_(engineer),01/01/2016,Sir Benjamin Baker_2016,3, KENSINGTON GATE,W8 5NA
"3 KENSINGTON COURT GARDENS, KENSINGTON W8 5QE",T. S. Eliot O.M.,https://en.wikipedia.org/wiki/T._S._Eliot,01/01/1986,T. S. Eliot O.M._1986,3, KENSINGTON COURT,W8 5QE
"4 CLAREMONT SQUARE, ISLINGTON N1 9LY",Edward Irving,https://en.wikipedia.org/wiki/Edward_Irving,01/01/1982,Edward Irving_1982,4, CLAREMONT SQUARE,N1 9LY
"4 HOLFORD ROAD, HAMPSTEAD NW3 1AD",Baron Friedrich von Hügel,https://en.wikipedia.org/wiki/Friedrich_von_H%C3%BCgel,01/01/1968,Baron Friedrich von Hügel_1968,4, HOLFORD ROAD,NW3 1AD
"4 ELSWORTHY ROAD, BELSIZE PARK NW3 3DJ",Sir Henry Wood,https://en.wikipedia.org/wiki/Henry_Wood,01/01/1969,Sir Henry Wood_1969,4, ELSWORTHY ROAD,NW3 3DJ
"4 MARESFIELD GARDENS, HAMPSTEAD NW3 5SU",Cecil Sharp,https://en.wikipedia.org/wiki/Cecil_Sharp,01/01/1985,Cecil Sharp_1985,4,,NW3 5SU
"4 GREVILLE PLACE, ST JOHN'S WOOD NW6 5JN",Gilbert Bayes,https://en.wikipedia.org/wiki/Gilbert_Bayes,01/01/2007,Gilbert Bayes_2007,4, GREVILLE PLACE,NW6 5JN
"4 BEAUMONT STREET, MARYLEBONE W1G 6AA",John Richard Green,https://en.wikipedia.org/wiki/John_Richard_Green,01/01/1964,John Richard Green_1964,4,,W1G 6AA
"4 BLOOMSBURY PLACE, BLOOMSBURY WC1A 2QA",Sir Hans Sloane,https://en.wikipedia.org/wiki/Hans_Sloane,01/01/1965,Sir Hans Sloane_1965,4, BLOOMSBURY PLACE,WC1A 2QA
"4 CARLTON GARDENS, ST JAMES'S SW1Y 5AA",General Charles De Gaulle,https://en.wikipedia.org/wiki/Charles_De_Gaulle,01/01/1984,General Charles De Gaulle_1984,4,,SW1Y 5AA
"4 CARLTON GARDENS, ST JAMES'S SW1Y 5AB",Lord Palmerston,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston",01/01/1907,Lord Palmerston_1907,4,,SW1Y 5AB
"4 CHESTERFIELD STREET, MAYFAIR W1J 6JF",Beau Brummell,https://en.wikipedia.org/wiki/Beau_Brummell,01/01/1984,Beau Brummell_1984,4,,W1J 6JF
"4 DUKE STREET, MARYLEBONE W1U 3EL",Simón Bolívar,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar,01/01/2002,Simón Bolívar_2002,4,,W1U 3EL
"41 NORFOLK SQUARE, PADDINGTON W2 IRX",Hertha Ayrton,https://en.wikipedia.org/wiki/Hertha_Ayrton,01/01/2007,Hertha Ayrton_2007,4, NORFOLK SQUARE,
"4 POND ROAD, BLACKHEATH SE3 9JL",Nathaniel Hawthorne,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne,01/01/1953,Nathaniel Hawthorne_1953,4, POND ROAD,SE3 9JL
"4 BENNETT PARK, BLACKHEATH SE3 9RB",Sir Arthur Eddington O. M.,https://en.wikipedia.org/wiki/Arthur_Eddington,01/01/1974,Sir Arthur Eddington O. M._1974,4,,SE3 9RB
"4 BERKELEY PLACE, WIMBLEDON SW19 4NN",Dame Margaret Rutherford,https://en.wikipedia.org/wiki/Margaret_Rutherford,01/01/2002,Dame Margaret Rutherford_2002,4, BERKELEY PLACE,SW19 4NN
"4 ST JAMES'S PLACE, ST JAMES'S SW1A 1NP",Frederic Chopin,https://en.wikipedia.org/wiki/Frederic_Chopin,01/01/1981,Frederic Chopin_1981,4,S PLACE,SW1A 1NP
"4 WHITEHALL PLACE, WHITEHALL LANE, WESTMINSTER SW1A 2HH",Scotland Yard,https://en.wikipedia.org/wiki/Scotland_Yard,01/01/1979,Scotland Yard_1979,4, WHITEHALL PLACE,SW1A 2HH
"4 GROSVENOR GARDENS, BELGRAVIA SW1W 0DH",Augustus Pitt Rivers,https://en.wikipedia.org/wiki/Augustus_Pitt_Rivers,01/01/1983,Augustus Pitt Rivers_1983,4,,SW1W 0DH
"4 HOBART PLACE, BELGRAVIA SW1W 0HU",Felix Mendelssohn,https://en.wikipedia.org/wiki/Felix_Mendelssohn,01/01/2013,Felix Mendelssohn_2013,4, HOBART PLACE,SW1W 0HU
"4 CHEYNE WALK, CHELSEA SW3 5QZ",George Eliot,https://en.wikipedia.org/wiki/George_Eliot,01/01/1949,George Eliot_1949,4, CHEYNE WALK,SW3 5QZ
"4 LOWER ADDISON GARDENS, HOLLAND PARK W14 8BQ",John Rae,https://en.wikipedia.org/wiki/John_Rae_(explorer),01/01/2011,John Rae_2011,4,,W14 8BQ
"4 AIRLIE GARDENS, CAMPDEN HILL W8 7AJ",Bill Brandt,https://en.wikipedia.org/wiki/Bill_Brandt,01/01/2010,Bill Brandt_2010,4,,W8 7AJ
"4 BEDFORD GARDENS, HOLLAND PARK W8 7EB",Frank Bridge,https://en.wikipedia.org/wiki/Frank_Bridge,01/01/1989,Frank Bridge_1989,4,,W8 7EB
"5 CANNON PLACE, HAMPSTEAD NW3 1EH",Sir Flinders Petrie,https://en.wikipedia.org/wiki/Flinders_Petrie,01/01/1954,Sir Flinders Petrie_1954,5, CANNON PLACE,NW3 1EH
"5 CAVENDISH SQUARE, MARYLEBONE W1G 0PG",Quintin Hogg,https://en.wikipedia.org/wiki/Quintin_Hogg_(merchant),01/01/1965,Quintin Hogg_1965,5, CAVENDISH SQUARE,W1G 0PG
"5 DENMARK STREET, ST GILES WC2H 8LS",Augustus Siebe,https://en.wikipedia.org/wiki/Augustus_Siebe,01/01/2000,Augustus Siebe_2000,5,,WC2H 8LS
"5 MONTAGUE ROAD, RICHMOND TW3 1LB",Sir Edwin Chadwick,https://en.wikipedia.org/wiki/Edwin_Chadwick,01/01/1992,Sir Edwin Chadwick_1992,5, MONTAGUE ROAD,TW3 1LB
"5 STANHOPE GATE, MAYFAIR W1K 1LQ","Lord FitzRoy Somerset, 1st Baron Raglan","https://en.wikipedia.org/wiki/Lord_FitzRoy_Somerset,_1st_Baron_Raglan",01/01/1911,"Lord FitzRoy Somerset, 1st Baron Raglan_1911",5, STANHOPE GATE,W1K 1LQ
"5 YORK GATE, REGENT'S PARK NW1 4QG",Francis Turner Palgrave,https://en.wikipedia.org/wiki/Francis_Turner_Palgrave,01/01/1976,Francis Turner Palgrave_1976,5, YORK GATE,NW1 4QG
"5 HAMLET ROAD, UPPER NORWOOD SE19 2AP",Ira Aldridge,https://en.wikipedia.org/wiki/Ira_Aldridge,01/01/2007,Ira Aldridge_2007,5, HAMLET ROAD,SE19 2AP
"5 COLYTON ROAD, PECKHAM RYE SE22 0NE",Percy Lane Oliver,https://en.wikipedia.org/w/index.php?title=Percy_Lane_Oliver&action=edit&redlink=1,01/01/1979,Percy Lane Oliver_1979,5, COLYTON ROAD,SE22 0NE
"5 BENNETT PARK, BLACKHEATH SE3 9RA",Donald McGill,https://en.wikipedia.org/wiki/Donald_McGill,01/01/1977,Donald McGill_1977,5,,SE3 9RA
"5 ARLINGTON STREET, ST JAMES'S SW1A 1RA",Sir Robert Walpole  and Horace Walpole ,https://en.wikipedia.org/wiki/Robert_Walpole,01/01/1976,Sir Robert Walpole  and Horace Walpole _1976,5,,SW1A 1RA
"5 THE PAVEMENT, CLAPHAM SW4 0JD","Zachary Macaulay and Thomas Babington Macaulay, 1st Baron Macaulay",https://en.wikipedia.org/wiki/Zachary_Macaulay,01/01/1930,"Zachary Macaulay and Thomas Babington Macaulay, 1st Baron Macaulay_1930",5,,SW4 0JD
"5 ONSLOW GARDENS, CHELSEA SW7 2JB",James Anthony Froude,https://en.wikipedia.org/wiki/James_Anthony_Froude,01/01/1934,James Anthony Froude_1934,5,,SW7 2JB
"5 CROMWELL PLACE, SOUTH KENSINGTON SW7 2JE",Sir John Lavery,https://en.wikipedia.org/wiki/John_Lavery,01/01/1966,Sir John Lavery_1966,5, CROMWELL PLACE,SW7 2JE
"5 BRAEMAR MANSIONS, CORNWALL GARDENS, KENSINGTON SW7 4AF",Dame Ivy Compton-Burnett,https://en.wikipedia.org/wiki/Ivy_Compton-Burnett,01/01/1994,Dame Ivy Compton-Burnett_1994,5,,SW7 4AF
"5 PETERSHAM MEWS, KENSINGTON SW7 5NR",Sir Douglas Bader,https://en.wikipedia.org/wiki/Douglas_Bader,01/01/2009,Sir Douglas Bader_2009,5,,SW7 5NR
"5 ADDISON BRIDGE PLACE, WEST KENSINGTON W14 8XP",Harold Laski,https://en.wikipedia.org/wiki/Harold_Laski,01/01/1974,Harold Laski_1974,5, ADDISON BRIDGE PLACE,W14 8XP
"6 CRESCENT ROAD, SUNDRIDGE PARK BR1 3PW",Prince Peter Kropotkin,https://en.wikipedia.org/wiki/Peter_Kropotkin,01/01/1989,Prince Peter Kropotkin_1989,6, CRESCENT ROAD,BR1 3PW
"6 GLOUCESTER GATE, REGENT'S PARK NW1 4HG",Sir Henry Wellcome,https://en.wikipedia.org/wiki/Henry_Wellcome,01/01/1989,Sir Henry Wellcome_1989,6, GLOUCESTER GATE,NW1 4HG
"6 MORNINGTON CRESCENT, CAMDEN TOWN NW1 7RH",Walter Sickert,https://en.wikipedia.org/wiki/Walter_Sickert,01/01/1977,Walter Sickert_1977,6, MORNINGTON CRESCENT,NW1 7RH
"6 ST AUGUSTINE'S ROAD, CAMDEN TOWN NW1 9RN",Theodor Fontane,https://en.wikipedia.org/wiki/Theodor_Fontane,01/01/1974,Theodor Fontane_1974,6,S ROAD,NW1 9RN
"6 LYNDHURST ROAD, HAMPSTEAD NW3 5PX",Richard Burton,https://en.wikipedia.org/wiki/Richard_Burton,01/01/2011,Richard Burton_2011,6, LYNDHURST ROAD,NW3 5PX
"6 HASLEMERE AVENUE, HENDON NW4 2PX,",Herbert Chapman,https://en.wikipedia.org/wiki/Herbert_Chapman,01/01/2005,Herbert Chapman_2005,6, HASLEMERE AVENUE,NW4 2PX
"6 CARLTON HILL, ST JOHN'S WOOD NW8 0JY",C.F.A. Voysey,https://en.wikipedia.org/wiki/C.F.A._Voysey,01/01/1995,C.F.A. Voysey_1995,6,,NW8 0JY
"6 CHESTERFIELD STREET, MAYFAIR W1J 5JQ",William Somerset Maugham,https://en.wikipedia.org/wiki/William_Somerset_Maugham,01/01/1975,William Somerset Maugham_1975,6,,W1J 5JQ
"6 CROOM'S HILL, GREENWICH SE10 8HL",Cecil Day-Lewis,https://en.wikipedia.org/wiki/Cecil_Day-Lewis,01/01/1998,Cecil Day-Lewis_1998,6,,SE10 8HL
"6 ELLERDALE ROAD, HAMPSTEAD NW3 6BD",Richard Norman Shaw,https://en.wikipedia.org/wiki/Richard_Norman_Shaw,01/01/2006,Richard Norman Shaw_2006,6, ELLERDALE ROAD,NW3 6BD
"6 FRITH STREET, SOHO W1D 3JA",William Hazlitt,https://en.wikipedia.org/wiki/William_Hazlitt,01/01/1905,William Hazlitt_1905,6,,W1D 3JA
"6 VANBRUGH HILL, BLACKHEATH SE3 7UF",Sir Frank Dyson,https://en.wikipedia.org/wiki/Frank_Dyson,01/01/1990,Sir Frank Dyson_1990,6,,SE3 7UF
"6 TRESSILLIAN CRESCENT, LEWISHAM SE4 1QJ",Edgar Wallace,https://en.wikipedia.org/wiki/Edgar_Wallace,01/01/1960,Edgar Wallace_1960,6, TRESSILLIAN CRESCENT,SE4 1QJ
"6 BARTON STREET, WESTMINSTER SW1P 3NG","John Reith, 1st Baron Reith","https://en.wikipedia.org/wiki/John_Reith,_1st_Baron_Reith",01/01/1995,"John Reith, 1st Baron Reith_1995",6,,SW1P 3NG
"6 GROSVENOR PLACE, BELGRAVIA SW1X 7SH",Sir Henry Campbell-Bannerman,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman,01/01/1959,Sir Henry Campbell-Bannerman_1959,6, GROSVENOR PLACE,SW1X 7SH
"6 BROMPTON SQUARE, KNIGHTSBRIDGE SW3 2AA",Stéphane Mallarmé,https://en.wikipedia.org/wiki/St%C3%A9phane_Mallarm%C3%A9,01/01/1959,Stéphane Mallarmé_1959,6, BROMPTON SQUARE,SW3 2AA
"6 CARLYLE SQUARE, CHELSEA SW3 6EX",Dame Sybil Thorndike,https://en.wikipedia.org/wiki/Sybil_Thorndike,01/01/1998,Dame Sybil Thorndike_1998,6, CARLYLE SQUARE,SW3 6EX
"6 GRENVILLE PLACE, SOUTH KENSINGTON SW7 4RW",Charles Booth,https://en.wikipedia.org/wiki/Charles_Booth_(philanthropist),01/01/1951,Charles Booth_1951,6, GRENVILLE PLACE,SW7 4RW
"6 WIMPOLE STREET, MARYLEBONE W1G 8AL",Sir Frederick Treves,"https://en.wikipedia.org/wiki/Sir_Frederick_Treves,_1st_Baronet",01/01/2000,Sir Frederick Treves_2000,6,,W1G 8AL
"6 DOURO PLACE, KENSINGTON W8 5PH",Samuel Palmer,https://en.wikipedia.org/wiki/Samuel_Palmer,01/01/1972,Samuel Palmer_1972,6, DOURO PLACE,W8 5PH
"6 BEDFORD SQUARE, BLOOMSBURY WC1B 3RA",Lord Eldon,"https://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon",01/01/1954,Lord Eldon_1954,6, BEDFORD SQUARE,WC1B 3RA
"7 BRUCE GROVE, TOTTENHAM N17 6RA",Luke Howard,https://en.wikipedia.org/wiki/Luke_Howard,01/01/2002,Luke Howard_2002,7,,N17 6RA
"7 WELL ROAD, HAMPSTEAD NW3 1LH",Karl Pearson,https://en.wikipedia.org/wiki/Karl_Pearson,01/01/1983,Karl Pearson_1983,7, WELL ROAD,NW3 1LH
"7 HARLEY ROAD, SWISS COTTAGE NW3 3BX",Dame Clara Butt,https://en.wikipedia.org/wiki/Clara_Butt,01/01/1969,Dame Clara Butt_1969,7, HARLEY ROAD,NW3 3BX
"7 ALDFORD STREET, MAYFAIR W1K 2AQ",John Gilbert Winant,https://en.wikipedia.org/wiki/John_Gilbert_Winant,01/01/1982,John Gilbert Winant_1982,7,,W1K 2AQ
"7 STRATFORD PLACE, MARYLEBONE W1C 1AY",Martin van Buren,https://en.wikipedia.org/wiki/Martin_van_Buren,01/01/1977,Martin van Buren_1977,7, STRATFORD PLACE,W1C 1AY
"75 MOSS LANE, PINNER, HARROW",W. Heath Robinson,https://en.wikipedia.org/wiki/W._Heath_Robinson,01/01/1976,W. Heath Robinson_1976,7, MOSS LANE,
"7 JEWS WALK, SYDENHAM SE26 6PJ",Eleanor Marx,https://en.wikipedia.org/wiki/Eleanor_Marx,01/01/2008,Eleanor Marx_2008,7, JEWS WALK,SE26 6PJ
