,address,person,wiki,year
99,"Chatsworth Estate, Derbyshire, ",Sir Joseph Paxton   ,https://en.wikipedia.org/wiki/Joseph_Paxton,2011-01-01
102,"St. Mary's Lodge, York Museum Gardens, York, ",John Phillips,https://en.wikipedia.org/wiki/John_Phillips_(geologist),2016-01-01
106,"Lewis Trust Dwellings, Warner Road, Camberwell, ",George Arthur Roberts   ,https://en.wikipedia.org/wiki/George_Arthur_Roberts,2016-01-01
107,"75 Moss Lane Pinner, Harrow, ",W. Heath Robinson   ,https://en.wikipedia.org/wiki/W._Heath_Robinson,1976-01-01
108,"Quarndon House,Derby, ",Sir Henry Royce   ,https://en.wikipedia.org/wiki/Henry_Royce,2012-01-01
110,"Priestgate, Barton-upon-Humber, ",Rex C. Russell,https://en.wikipedia.org/w/index.php?title=Rex_C._Russell&action=edit&redlink=1,2015-01-01
113,"Sunnymount Cottage,Chevin Road, Belper, ",Samuel Slater   ,https://en.wikipedia.org/wiki/Samuel_Slater,2012-01-01
115,"County Hall,Smedley Street, Matlock, Derbyshire, ",John Smedley   ,https://en.wikipedia.org/wiki/John_Smedley_(industrialist),2012-01-01
117,"Chesterfield railway station, Derbyshire, ",George Stephenson   ,https://en.wikipedia.org/wiki/George_Stephenson,2011-01-01
118,"Makeney Hall, Belper,Derbyshire, ",George Herbert Strutt   ,https://en.wikipedia.org/wiki/George_Herbert_Strutt,2013-01-01
120,"Beside the stage door of the Adelphi Theatre in London, ",William Terriss    ,https://en.wikipedia.org/wiki/William_Terriss,1971-01-01
132,"Castle Top Farm,Cromford, Derbyshire, ",Alison Uttley   ,https://en.wikipedia.org/wiki/Alison_Uttley,2012-01-01
142,"Amber Mill,Oakerthorpe, Derbyshire, ",Sir Joseph Whitworth   ,https://en.wikipedia.org/wiki/Joseph_Whitworth,2012-01-01
143,"Goldsworth Road, Woking, Surrey, ",Ken Wood   ,https://en.wikipedia.org/wiki/Ken_Wood_(manufacturer),2017-01-01
147,"23 Heddon Street, London, ",Ziggy Stardust,https://en.wikipedia.org/wiki/The_Rise_and_Fall_of_Ziggy_Stardust_and_the_Spiders_from_Mars,2012-01-01
168,"5 Hamlet RoadUpper Norwood SE19 2AP, ",Ira Aldridge   ,https://en.wikipedia.org/wiki/Ira_Aldridge,2007-01-01
169,"Fairmount, Mottingham LaneMottingham SE9 9AG, ",W. G. Grace   ,https://en.wikipedia.org/wiki/W._G._Grace,1963-01-01
170,"6 Crescent RoadSundridge Park BR1 3PW, ",Prince Peter Kropotkin   ,https://en.wikipedia.org/wiki/Peter_Kropotkin,1989-01-01
171,"20 Church RoadShortlands BR2 0HP, ",Alexander Muirhead   ,https://en.wikipedia.org/wiki/Alexander_Muirhead,1981-01-01
172,"51 Tweedy RoadBromley BR1 3NH, ",Rachel McMillan    and Margaret McMillan   ,https://en.wikipedia.org/wiki/Rachel_McMillan,2009-01-01
173,"28 Cintra ParkUpper Norwood SE19 2LH, ",Marie Stopes   ,https://en.wikipedia.org/wiki/Marie_Stopes,2010-01-01
174,"110 Auckland RoadUpper Norwood SE19 2BY, ",Raymond Chandler   ,https://en.wikipedia.org/wiki/Raymond_Chandler,2014-01-01
175,"30 Dagnall ParkSouth Norwood SE25 5PH, ",Samuel Coleridge-Taylor   ,https://en.wikipedia.org/wiki/Samuel_Coleridge-Taylor,1975-01-01
176,"12 Tennison RoadNorth Norwood SE25 5RT, ",Sir Arthur Conan Doyle   ,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle,1973-01-01
177,"20 Outram RoadAddiscombe CR0 6XE, ",Frederick George Creed   ,https://en.wikipedia.org/wiki/Frederick_George_Creed,1973-01-01
178,"32 St James' RoadPurley CR8 2DL, ",Peter Cushing   ,https://en.wikipedia.org/wiki/Peter_Cushing,2018-01-01
179,"144 St James's RoadCroydon CR0 2UY, ",C. B. Fry   ,https://en.wikipedia.org/wiki/C._B._Fry,2005-01-01
180,"45 The ChaseNorbury SW16 3AE, ",Will Hay   ,https://en.wikipedia.org/wiki/Will_Hay,2000-01-01
181,"Coombe Cliff, Coombe RoadCroydon CR0 5SP, ",John Horniman    and Frederick John Horniman   ,https://en.wikipedia.org/w/index.php?title=John_Horniman&action=edit&redlink=1,1988-01-01
182,"Stanley Halls, 12 South Norwood HillSouth Norwood SE25 6AB, ",W. F. R. Stanley   ,https://en.wikipedia.org/wiki/William_Stanley_(inventor),1993-01-01
183,"44 St Peter's RoadSouth Croydon CR0 1RG, ",Alfred Russel Wallace   ,https://en.wikipedia.org/wiki/Alfred_Russel_Wallace,1979-01-01
184,"Queen's Hotel, 122 Church RoadUpper Norwood SE19 2UG, ",Emile Zola   ,https://en.wikipedia.org/wiki/Emile_Zola,1990-01-01
185,"Ealing Studios, Ealing GreenEaling W5 5EP, ",Sir Michael Balcon   ,https://en.wikipedia.org/wiki/Michael_Balcon,2005-01-01
186,"37 The Ridings, Hanger HillEaling W5 3BT, ",Alan Dower Blumlein   ,https://en.wikipedia.org/wiki/Alan_Dower_Blumlein,1977-01-01
187,"7 North Common RoadEaling W5 2QB, ",Dorothea Lambert Chambers   ,https://en.wikipedia.org/wiki/Dorothea_Lambert_Chambers,2005-01-01
188,"Bedford House, The AvenueActon Green W4 2PJ, ",John Lindley   ,https://en.wikipedia.org/wiki/John_Lindley,2005-01-01
189,"223 Pitshanger Lane, Brentham Garden EstateEaling W5 1RG, ",Fred Perry   ,https://en.wikipedia.org/wiki/Fred_Perry,2012-01-01
190,"32 Twyford AvenueActon W3 9QB, ",Richard Titmuss   ,https://en.wikipedia.org/wiki/Richard_Titmuss,2011-01-01
195,"145 Charlton RoadCharlton SE7 7EZ, ",William Henry Barlow   ,https://en.wikipedia.org/wiki/William_Henry_Barlow,1991-01-01
196,"6 Croom's HillGreenwich SE10 8HL, ",Cecil Day-Lewis   ,https://en.wikipedia.org/wiki/Cecil_Day-Lewis,1998-01-01
197,"6 Vanbrugh HillBlackheath SE3 7UF, ",Sir Frank Dyson   ,https://en.wikipedia.org/wiki/Frank_Dyson,1990-01-01
198,"4 Bennett ParkBlackheath SE3 9RB, ",Sir Arthur Eddington O. M.   ,https://en.wikipedia.org/wiki/Arthur_Eddington,1974-01-01
199,"47 Bennett ParkBlackheath SE3 9RA, ",GPO Film Unit,https://en.wikipedia.org/wiki/GPO_Film_Unit,2000-01-01
200,"15 Morden RoadBlackheath SE3 0AA, ",Charles Gounod   ,https://en.wikipedia.org/wiki/Charles_Gounod,1961-01-01
201,"4 Pond RoadBlackheath SE3 9JL, ",Nathaniel Hawthorne   ,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1953-01-01
202,"59 Footscray RoadEltham SE9 2ST, ",Richard Jeffries   ,https://en.wikipedia.org/wiki/Richard_Jeffries,1986-01-01
203,"74 Shooters HillBlackheath SE3 7BG, ",William Lindley  and Sir William Heerlein Lindley ,https://en.wikipedia.org/wiki/William_Lindley,2015-01-01
204,"55 Archery RoadEltham SE9 1HF, ","Herbert Morrison, Baron Morrison of Lambeth   ",https://en.wikipedia.org/wiki/Herbert_Morrison,1977-01-01
205,"5 Bennett ParkBlackheath SE3 9RA, ",Donald McGill   ,https://en.wikipedia.org/wiki/Donald_McGill,1977-01-01
206,"Ranger's House, Chesterfield WalkBlackheath SE10 8QX, ","Philip Stanhope, 4th Earl of Chesterfield   ","https://en.wikipedia.org/wiki/Philip_Stanhope,_4th_Earl_of_Chesterfield",1937-01-01
207,"67 Charlton Church LaneCharlton SE7 7AB, ",Italo Svevo   ,https://en.wikipedia.org/wiki/Italo_Svevo,1999-01-01
208,"26 Croom's HillGreenwich SE10 8ER, ",Benjamin Waugh   ,https://en.wikipedia.org/wiki/Benjamin_Waugh,1984-01-01
209,"Macartney HouseGreenwich Park SE10 8HJ, ",General James Wolfe   ,https://en.wikipedia.org/wiki/James_Wolfe,1909-01-01
210,"Ranger's House, Chesterfield WalkBlackheath SE10 8QX, ","Garnet Wolseley, 1st Viscount Wolseley   ","https://en.wikipedia.org/wiki/Garnet_Wolseley,_1st_Viscount_Wolseley",1937-01-01
211,"95 Stoke Newington Church StreetStoke Newington N16 0AS, ",Daniel Defoe   ,https://en.wikipedia.org/wiki/Daniel_Defoe,1932-01-01
212,"41 Cassland RoadHackney E9 7AL, ",Maria Dickin   ,https://en.wikipedia.org/wiki/Maria_Dickin,2015-01-01
213,"56 Mortimer RoadDe Beauvoir Town N1 5AP, ",Philip Henry Gosse    and Sir Edmund Gosse   ,https://en.wikipedia.org/wiki/Philip_Henry_Gosse,1983-01-01
214,"50 Durley RoadStamford Hill N16 6JS, ",Ebenezer Howard   ,https://en.wikipedia.org/wiki/Ebenezer_Howard,1991-01-01
215,"55 Graham RoadHackney E8 1PB, ",Marie Lloyd   ,https://en.wikipedia.org/wiki/Marie_Lloyd,1977-01-01
216,"7–8 Ram PlaceHackney E9 6LT, ",Joseph Priestley   ,https://en.wikipedia.org/wiki/Joseph_Priestley,1985-01-01
217,"86–88 Curtain RoadShoreditch EC2A 3AA, ",Curtain Theatre,https://en.wikipedia.org/wiki/Curtain_Theatre,1920-01-01
218,"49 St Stephen's AvenueShepherd's Bush W12 8JB, ",Sri Aurobindo   ,https://en.wikipedia.org/wiki/Sri_Aurobindo,2007-01-01
219,"Temple Lodge, 51 Queen Caroline StreetHammersmith W6 9QL, ",Sir Frank Brangwyn   ,https://en.wikipedia.org/wiki/Frank_Brangwyn,1989-01-01
220,"15 Upper MallChiswick W6 9TA, ",Thomas James Cobden-Sanderson   ,https://en.wikipedia.org/wiki/Thomas_James_Cobden-Sanderson,1974-01-01
221,"7 Addison Bridge PlaceWest Kensington W14 8XP, ",Samuel Taylor Coleridge   ,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,1950-01-01
222,"32 Baron's Court RoadBarons Court W14 9DT, ",Sir Geoffrey De Havilland   ,https://en.wikipedia.org/wiki/Geoffrey_De_Havilland,2001-01-01
223,"11 Ravenscourt SquareHammersmith W6 0TW, ",Ouida   ,https://en.wikipedia.org/wiki/Ouida,1952-01-01
224,"9 Lower MallChiswick W6 9DJ, ",George Devine   ,https://en.wikipedia.org/wiki/George_Devine,1992-01-01
225,"51 Avonmore RoadWest Kensington W14 8RT, ",Sir Edward Elgar   ,https://en.wikipedia.org/wiki/Edward_Elgar,1962-01-01
226,"20 Baron's Court RoadBarons Court W14 9DT, ",Mahatma Gandhi   ,https://en.wikipedia.org/wiki/Mahatma_Gandhi,1986-01-01
227,"53 Talgarth RoadBarons Court W14 9DD, ",Marcus Garvey   ,https://en.wikipedia.org/wiki/Marcus_Garvey,2005-01-01
228,"70 Edith RoadWest Kensington W14 9AR, ",Sir Eugene Goossens   ,https://en.wikipedia.org/wiki/Eugene_Aynsley_Goossens,1999-01-01
229,"69 Gunterstone RoadWest Kensington W14 9BS, ",Sir Henry Rider Haggard   ,https://en.wikipedia.org/wiki/H._Rider_Haggard,1977-01-01
230,"12 Hammersmith TerraceChiswick W6 9TS, ",Sir Alan Herbert  A. P .H.    ,https://en.wikipedia.org/wiki/A._P._Herbert,1993-01-01
231,"St Paul's Girls' SchoolBrook Green W6 7BS, ",Gustav Holst   ,https://en.wikipedia.org/wiki/Gustav_Holst,2004-01-01
232,"3 Hammersmith TerraceChiswick W6 9TS, ",Edward Johnston   ,https://en.wikipedia.org/wiki/Edward_Johnston,1977-01-01
233,"5 Addison Bridge PlaceWest Kensington W14 8XP, ",Harold Laski   ,https://en.wikipedia.org/wiki/Harold_Laski,1974-01-01
234,"11a Palace Mansions, Hammersmith RoadWest Kensington W14 8QN, ",Sir Joseph Lyons    ,https://en.wikipedia.org/wiki/Joseph_Lyons_(caterer),2016-01-01
235,"48 Upper MallChiswick W6 9TA, ",Eric Ravilious   ,https://en.wikipedia.org/wiki/Eric_Ravilious,1991-01-01
236,"56 Brook GreenBrook Green W6 7BJ, ",Sir Frank Short   ,https://en.wikipedia.org/wiki/Frank_Short,1951-01-01
237,"84 Brook Green RoadBrook Green W6 7BS, ",Silver StudioArthur Silver    Harry Silver    Rex Silver    ,https://en.wikipedia.org/wiki/Silver_Studio,1981-01-01
238,"Emery Walker house, 7 Hammersmith TerraceChiswick W6 9TS, ",Sir Emery Walker   ,https://en.wikipedia.org/wiki/Emery_Walker,1959-01-01
239,"19 Ravenscourt RoadHammersmith W6 0UH, ",Christopher Whitworth Whall   ,https://en.wikipedia.org/wiki/Christopher_Whitworth_Whall,1983-01-01
240,"73 Lancaster RoadStroud Green N4 4PL, ",Laurie Cunningham   ,https://en.wikipedia.org/wiki/Laurie_Cunningham,2016-01-01
241,"16 Bishopswood RoadHighgate N6 4NY, ",A.V.Hill   ,https://en.wikipedia.org/wiki/Archibald_Hill,2015-01-01
242,"17 North RoadHighgate N6 4BD, ",A. E. Housman   ,https://en.wikipedia.org/wiki/A._E._Housman,1969-01-01
243,"7 Bruce GroveTottenham N17 6RA, ",Luke Howard   ,https://en.wikipedia.org/wiki/Luke_Howard,2002-01-01
244,"Alexandra PalaceWood Green N22 7AY, ",BBC Television,https://en.wikipedia.org/wiki/BBC_Television,1977-01-01
245,"22 Southwood LaneHighgate N6 5EE, ",Mary Kingsley   ,https://en.wikipedia.org/wiki/Mary_Kingsley,1975-01-01
246,"10 Haslemere RoadCrouch End N8 9QX, ",Frank Matcham   ,https://en.wikipedia.org/wiki/Frank_Matcham,2007-01-01
247,"30 Langdon Park RoadHighgate N6 5QG, ",V. K. Krishna Menon   ,https://en.wikipedia.org/wiki/V._K._Krishna_Menon,2013-01-01
248,"65 Cromwell Avenue Highgate N6 5HS, ",Vinayak Damodar Savarkar   ,https://en.wikipedia.org/wiki/Vinayak_Damodar_Savarkar,1985-01-01
249,"50 Southwood LaneHighgate N6 9TS, ",Arthur Waley   ,https://en.wikipedia.org/wiki/Arthur_Waley,1995-01-01
264,"21–23 Chiswell StreetMoorgate EC1Y 4SD, ",William Caslon   ,https://en.wikipedia.org/wiki/William_Caslon,1958-01-01
265,"25 Highbury PlaceHighbury N5 1QP, ",Joseph Chamberlain   ,https://en.wikipedia.org/wiki/Joseph_Chamberlain,1915-01-01
266,"32 Charlton PlaceIslington N1 8AJ, ",Caroline Chisholm   ,https://en.wikipedia.org/wiki/Caroline_Chisholm,1983-01-01
267,"10–11 Islington GreenIslington N1 2XH, ",Collins' Music Hall,https://en.wikipedia.org/w/index.php?title=Collins%27_Music_Hall&action=edit&redlink=1,1986-01-01
268,"19 Wharton StreetIslington WC1X 9PT, ",Amelia Edwards   ,https://en.wikipedia.org/wiki/Amelia_Edwards,1926-01-01
269,"72A Upper StreetIslington N1 0NY, ",Dame Gracie Fields   ,https://en.wikipedia.org/wiki/Gracie_Fields,2011-01-01
270,"124 Highbury New ParkHighbury N5 2DR, ",David Gestetner   ,https://en.wikipedia.org/wiki/David_Gestetner,2011-01-01
271,"56 Exmouth MarketClerkenwell EC1R 4QE, ",Joseph Grimaldi   ,https://en.wikipedia.org/wiki/Joseph_Grimaldi,1989-01-01
272,"8 Sekforde StreetClerkenwell EC1R 0HD, ",John Groom   ,https://en.wikipedia.org/w/index.php?title=John_Groom_(philanthropist)&action=edit&redlink=1,1997-01-01
273,"4 Claremont SquareIslington N1 9LY, ",Edward Irving   ,https://en.wikipedia.org/wiki/Edward_Irving,1982-01-01
274,"64 Duncan TerraceIslington N1 8AG, ",Charles Lamb   ,https://en.wikipedia.org/wiki/Charles_Lamb,1907-01-01
275,"136 Englefield RoadDe Beauvoir Town N1 3LQ, ",George Leybourne   ,https://en.wikipedia.org/wiki/George_Leybourne,2013-01-01
276,"3 Hungerford RoadHolloway N7 9LA, ",Lilian Lindsay   ,https://en.wikipedia.org/wiki/Lilian_Lindsay,2013-01-01
277,"52 Canonbury Park SouthIslington N1 2JG, ",Louis Macneice   ,https://en.wikipedia.org/wiki/Louis_Macneice,1996-01-01
278,"8 Canonbury SquareIslington N1 2AU, ",Samuel Phelps   ,https://en.wikipedia.org/wiki/Samuel_Phelps,1911-01-01
279,"26 Batchelor StreetIslington N1 0EG, ",Thomas Hosmer Shepherd   ,https://en.wikipedia.org/wiki/Thomas_Hosmer_Shepherd,1976-01-01
280,"1 Canonbury PlaceCanonbury N1 2NG, ",Sir Basil Spence   ,https://en.wikipedia.org/wiki/Basil_Spence,2011-01-01
281,"47 City RoadIslington EC1Y 1AU, ",John Wesley   ,https://en.wikipedia.org/wiki/John_Wesley,1926-01-01
282,"58 Cranes ParkSurbiton KT5 8AS, ",Alfred Bestall   ,https://en.wikipedia.org/wiki/Alfred_Bestall,2006-01-01
283,"207 Hook RoadChessington KT9 1EA, ",Enid Blyton   ,https://en.wikipedia.org/wiki/Enid_Blyton,2007-01-01
284,"Canbury School, Kingston HillKingston upon Thames KT2 7LN, ",Sir Malcolm Campbell    and Donald Campbell   ,https://en.wikipedia.org/wiki/Malcolm_Campbell,2010-01-01
285,"Hollyfield Road, Surbiton KT5 9AL, ",The former works of the Cooper Car Company,https://en.wikipedia.org/wiki/Cooper_Car_Company,2018-01-01
286,"Coombe House, Devey Close, (off Beverley Lane)Coombe KT2 7DT, ",Dame Nelly Melba   ,https://en.wikipedia.org/wiki/Nelly_Melba,2000-01-01
287,"The Elms, Clapham Common NorthsideClapham SW4 9SP, ",Sir Charles Barry   ,https://en.wikipedia.org/wiki/Charles_Barry,1950-01-01
288,"13 Pendennis RoadStreatham SW16 2SS, ",Sir Arnold Bax   ,https://en.wikipedia.org/wiki/Arnold_Bax,1993-01-01
289,"27 Stockwell Park RoadStockwell SW9 0AP, ",Lilian Baylis   ,https://en.wikipedia.org/wiki/Lilian_Baylis,1974-01-01
290,"43 Old TownClapham SW4 0JL, ",John Francis Bentley   ,https://en.wikipedia.org/wiki/John_Francis_Bentley,1950-01-01
291,"100 Lambeth RoadLambeth SE1 7PT, ",William Bligh   ,https://en.wikipedia.org/wiki/William_Bligh,1952-01-01
292,"15 Glenshaw Mansions, Brixton Road, Kennington SW9 0DS, ",Charlie Chaplin   ,https://en.wikipedia.org/wiki/Charlie_Chaplin,1951-01-01
293,"London County HallSouth Bank SE1 7PB, ",London County Hall,https://en.wikipedia.org/wiki/London_County_Hall,1986-01-01
294,"34 Foxley RoadCamberwell SW9 6ES, ",David Cox   ,https://en.wikipedia.org/wiki/David_Cox_(artist),1951-01-01
295,"14 Dover Mansions, Canterbury CrescentBrixton SW9 7QF, ",Henry Havelock Ellis   ,https://en.wikipedia.org/wiki/Henry_Havelock_Ellis,1981-01-01
296,"14 Clapham Common NorthsideClapham SW4 0RF, ",Graham Greene   ,https://en.wikipedia.org/wiki/Graham_Greene,2011-01-01
297,"160 Lambeth RoadLambeth SE1 7DF, ",Sir Phillip Ben Greet   ,https://en.wikipedia.org/wiki/Ben_Greet,1961-01-01
298,"47 Clapham Common NorthsideClapham SW4 0AA, ",Edvard Grieg   ,https://en.wikipedia.org/wiki/Edvard_Grieg,2004-01-01
299,"13 Rodenhurst RoadClapham SW4 8AE, ",Arthur Henderson   ,https://en.wikipedia.org/wiki/Arthur_Henderson,1980-01-01
300,"17 Englewood RoadClapham SW12 9PA, ",Sir Jack Hobbs   ,https://en.wikipedia.org/wiki/Jack_Hobbs,1986-01-01
301,"London County HallSouth Bank SE1 7PB, ",Inner London Education Authority,https://en.wikipedia.org/wiki/Inner_London_Education_Authority,1986-01-01
302,"165 Railton RoadBrixton SE24 0JX, ",C. L. R. James   ,https://en.wikipedia.org/wiki/C._L._R._James,2004-01-01
303,"14 Highland Road, Upper Norwood SE19 1DP, ",Dan Leno   ,https://en.wikipedia.org/wiki/Dan_Leno,1962-01-01
304,"56 Akerman RoadCamberwell SW9 6SN, ",Margaret Lockwood   ,https://en.wikipedia.org/wiki/Margaret_Lockwood,2018-01-01
305,"5 The PavementClapham SW4 0JD, ","Zachary Macaulay    and Thomas Babington Macaulay, 1st Baron Macaulay   ",https://en.wikipedia.org/wiki/Zachary_Macaulay,1930-01-01
306,"27 Lanercost RoadTulse Hill SW2 4DP, ",Arthur Mee   ,https://en.wikipedia.org/wiki/Arthur_Mee,1991-01-01
307,"Oval House, 52–54 KenningtonKennington Oval SE11 5SW, ","Bernard Montgomery, 1st Viscount Montgomery of Alamein   ","https://en.wikipedia.org/wiki/Bernard_Montgomery,_1st_Viscount_Montgomery_of_Alamein",1987-01-01
308,"26 Herne HillHerne Hill SE24 9QS, ",John Ruskin   ,https://en.wikipedia.org/wiki/John_Ruskin,1926-01-01
309,"81 The ChaseClapham SW4 0NR, ",Natsume Sōseki   ,https://en.wikipedia.org/wiki/Natsume_S%C5%8Dseki,2002-01-01
310,"18 Burnley RoadStockwell SW9 0SJ, ",Violette Szabo   ,https://en.wikipedia.org/wiki/Violette_Szabo,1981-01-01
311,"87 Hackford RoadSouth Lambeth SW9 0RE, ",Vincent Van Gogh   ,https://en.wikipedia.org/wiki/Vincent_Van_Gogh,1973-01-01
312,"Holy Trinity Church, Clapham CommonClapham SW4 0QZ, ",William Wilberforce   ,https://en.wikipedia.org/wiki/William_Wilberforce,1984-01-01
313,"9 Gilmore RoadLee SE13 5AD, ",James Elroy Flecker   ,https://en.wikipedia.org/wiki/James_Elroy_Flecker,1986-01-01
314,"20 Dartmouth HillBlackheath SE10 8AJ, ",James Glaisher   ,https://en.wikipedia.org/wiki/James_Glaisher,1974-01-01
315,"12 Westwood HillSydenham SE26 6QR, ",Sir George Grove   ,https://en.wikipedia.org/wiki/George_Grove,2016-01-01
316,"Horniman Museum, London RoadForest Hill SE23 3PQ, ",Frederick John Horniman   ,https://en.wikipedia.org/wiki/Frederick_John_Horniman,1985-01-01
317,"7 Jews WalkSydenham SE26 6PJ, ",Eleanor Marx   ,https://en.wikipedia.org/wiki/Eleanor_Marx,2008-01-01
318,"2 Eliot PlaceBlackheath SE3 0QL, ",Sir James Clark Ross   ,https://en.wikipedia.org/wiki/James_Clark_Ross,1960-01-01
319,"12 Westwood HillSydenham SE26 6QR, ",Sir Ernest Shackleton   ,https://en.wikipedia.org/wiki/Ernest_Shackleton,1928-01-01
320,"11 Granville ParkLewisham SE13 7DY, ",Samuel Smiles   ,https://en.wikipedia.org/wiki/Samuel_Smiles,1959-01-01
321,"233 New Cross RoadNew Cross Gate SE14 5UH, ",John Tallis   ,https://en.wikipedia.org/wiki/John_Tallis,1978-01-01
322,"13 Handen RoadLee SE12 8NP, ",Sir Stanley Unwin   ,https://en.wikipedia.org/wiki/Stanley_Unwin_(publisher),1984-01-01
323,"6 Tressillian CrescentLewisham SE4 1QJ, ",Edgar Wallace   ,https://en.wikipedia.org/wiki/Edgar_Wallace,1960-01-01
338,"Hampton Branch Library, Rose HillHampton TW12 2AB, ",John Beard    and William Ewart   ,https://en.wikipedia.org/wiki/John_Beard_(tenor),1992-01-01
339,"Wilderness House, Moat Lane, Hampton Court PalaceHampton Court KT8 9AR, ",Lancelot 'Capability' Brown   ,https://en.wikipedia.org/wiki/Capability_Brown,2011-01-01
340,"5 Montague RoadRichmond TW3 1LB, ",Sir Edwin Chadwick   ,https://en.wikipedia.org/wiki/Edwin_Chadwick,1992-01-01
341,"131 Waldegrave RoadTeddington TW11 8BB, ",Sir Noël Coward   ,https://en.wikipedia.org/wiki/No%C3%ABl_Coward,1995-01-01
342,"South End House, Montpelier RowTwickenham TW1 2NQ, ",Walter de la Mare   ,https://en.wikipedia.org/wiki/Walter_de_la_Mare,1995-01-01
343,"14 The TerraceBarnes SW13 0NP, ",Dame Ninette de Valois   ,https://en.wikipedia.org/wiki/Ninette_de_Valois,2006-01-01
344,"Cedar Court, Sheen LaneEast Sheen SW14 8LY, ",Richard Dimbleby   ,https://en.wikipedia.org/wiki/Richard_Dimbleby,2013-01-01
345,"Milbourne House, Barnes GreenBarnes SW13 0LW, ",Henry Fielding   ,https://en.wikipedia.org/wiki/Henry_Fielding,1978-01-01
346,"Garrick's Villa, Hampton Court RoadTW12 2EJ, ",David Garrick   ,https://en.wikipedia.org/wiki/David_Garrick,1970-01-01
347,"55 York AvenueEast Sheen SW14 7LQ, ",Kathleen Godfree   ,https://en.wikipedia.org/wiki/Kathleen_McKane_Godfree,2006-01-01
348,"3 St Mary's GroveBarnes SW13 0JA, ",James Henry Greathead   ,https://en.wikipedia.org/wiki/James_Henry_Greathead,2000-01-01
